# Force coefficients
# liftDir     : (0.000000e+00 1.000000e+00 0.000000e+00)
# dragDir     : (1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis   : (0.000000e+00 0.000000e+00 1.000000e+00)
# magUInf     : 1.000000e+00
# lRef        : 1.000000e+00
# Aref        : 1.000000e+00
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
# Time        	Cm            	Cd            	Cl            	Cl(f)         	Cl(r)         
1             	1.916549e-04	1.012724e-01	-5.327076e-04	-7.469893e-05	-4.580087e-04
2             	3.054202e-04	1.089782e-01	-9.631624e-04	-1.761610e-04	-7.870014e-04
3             	-2.545386e-05	1.161202e-01	-1.326723e-03	-6.888155e-04	-6.379078e-04
4             	-2.700830e-04	1.141545e-01	-1.126620e-03	-8.333930e-04	-2.932271e-04
5             	2.583409e-03	1.024894e-01	5.357900e-03	5.262359e-03	9.554061e-05
6             	1.781808e-04	9.413319e-02	2.833889e-04	3.198753e-04	-3.648639e-05
7             	-2.268843e-05	9.248731e-02	-1.405513e-04	-9.296408e-05	-4.758722e-05
8             	6.994534e-05	9.251674e-02	6.391342e-04	3.895124e-04	2.496217e-04
9             	-1.248686e-04	9.250519e-02	-2.097686e-04	-2.297529e-04	1.998429e-05
10            	-8.397134e-05	9.253038e-02	-2.698403e-06	-8.532054e-05	8.262214e-05
11            	9.063396e-05	9.250058e-02	1.264476e-04	1.538578e-04	-2.741014e-05
12            	-1.515493e-04	9.253824e-02	4.356021e-05	-1.297692e-04	1.733294e-04
13            	-4.326177e-05	9.253275e-02	-2.053736e-04	-1.459486e-04	-5.942503e-05
14            	9.611351e-05	9.252240e-02	4.860187e-04	3.391229e-04	1.468958e-04
15            	-9.139739e-05	9.246789e-02	-4.057330e-04	-2.942639e-04	-1.114691e-04
16            	-2.079471e-04	9.253765e-02	-2.746171e-04	-3.452557e-04	7.063853e-05
17            	-9.226681e-05	9.250306e-02	-2.226424e-04	-2.035880e-04	-1.905439e-05
18            	1.154677e-04	9.254585e-02	4.326421e-04	3.317888e-04	1.008534e-04
19            	-2.430672e-05	9.246049e-02	-1.218073e-04	-8.521040e-05	-3.659695e-05
20            	3.549735e-06	9.254014e-02	-2.253039e-04	-1.091022e-04	-1.162017e-04
21            	-1.100227e-04	9.250416e-02	-2.136655e-05	-1.207059e-04	9.933938e-05
22            	7.424853e-05	9.249648e-02	1.741199e-04	1.613085e-04	1.281144e-05
23            	-3.762788e-05	9.252812e-02	3.904127e-04	1.575785e-04	2.328342e-04
24            	1.509190e-04	9.248549e-02	-1.054962e-04	9.817088e-05	-2.036671e-04
25            	-1.580766e-04	9.254443e-02	-8.996463e-05	-2.030589e-04	1.130943e-04
26            	-8.706695e-06	9.252628e-02	6.036321e-05	2.147491e-05	3.888830e-05
27            	3.125174e-05	9.248689e-02	1.269472e-04	9.472534e-05	3.222187e-05
28            	-1.335956e-04	9.250855e-02	1.336067e-04	-6.679222e-05	2.003990e-04
29            	-1.238965e-04	9.180560e-02	6.083397e-03	2.917802e-03	3.165595e-03
30            	1.634515e-04	9.052922e-02	6.632058e-03	3.479480e-03	3.152577e-03
31            	6.751670e-04	8.967992e-02	4.413665e-03	2.881999e-03	1.531665e-03
32            	1.767419e-03	8.879145e-02	3.937127e-04	1.964276e-03	-1.570563e-03
33            	1.812322e-03	8.809971e-02	-4.754639e-03	-5.649973e-04	-4.189642e-03
34            	1.344707e-03	8.789841e-02	-8.421105e-03	-2.865846e-03	-5.555259e-03
35            	8.803096e-04	8.801903e-02	-1.010889e-02	-4.174134e-03	-5.934753e-03
36            	7.832927e-04	8.800286e-02	-1.049742e-02	-4.465418e-03	-6.032003e-03
37            	6.821218e-04	8.770725e-02	-1.085727e-02	-4.746512e-03	-6.110756e-03
38            	5.316291e-04	8.693728e-02	-1.196803e-02	-5.452386e-03	-6.515644e-03
39            	8.644642e-04	8.645942e-02	-1.730825e-02	-7.789662e-03	-9.518590e-03
40            	4.986995e-04	8.639363e-02	-1.848522e-02	-8.743910e-03	-9.741309e-03
41            	-2.536339e-04	8.604723e-02	-1.725953e-02	-8.883399e-03	-8.376131e-03
42            	-9.885827e-04	8.570844e-02	-1.300208e-02	-7.489620e-03	-5.512455e-03
43            	-1.290692e-03	8.518246e-02	-7.497577e-03	-5.039481e-03	-2.458097e-03
44            	-7.346369e-04	8.414312e-02	-3.051273e-03	-2.260273e-03	-7.909995e-04
45            	-2.826396e-04	8.280019e-02	-1.068739e-03	-8.170093e-04	-2.517301e-04
46            	-2.108604e-04	8.139967e-02	-2.890513e-04	-3.553860e-04	6.633476e-05
47            	-2.913974e-04	8.029606e-02	-2.108976e-04	-3.968462e-04	1.859486e-04
48            	1.073245e-04	7.960428e-02	6.802093e-05	1.413349e-04	-7.331400e-05
49            	3.308600e-05	7.943944e-02	3.318216e-04	1.989968e-04	1.328248e-04
50            	-2.824656e-05	7.942485e-02	1.455317e-04	4.451927e-05	1.010124e-04
51            	8.749520e-07	7.940976e-02	2.438779e-04	1.228139e-04	1.210640e-04
52            	-4.784760e-05	7.940314e-02	6.024626e-06	-4.483529e-05	5.085992e-05
53            	1.247194e-04	7.939552e-02	3.325986e-04	2.910187e-04	4.157993e-05
54            	7.629376e-05	7.939048e-02	8.987146e-05	1.212295e-04	-3.135803e-05
55            	1.961772e-05	7.941610e-02	2.285882e-04	1.339118e-04	9.467640e-05
56            	5.421275e-06	7.942283e-02	2.397919e-04	1.253172e-04	1.144747e-04
57            	-5.208987e-05	7.936213e-02	2.402014e-04	6.801082e-05	1.721905e-04
58            	-1.226508e-05	7.940625e-02	2.020761e-04	8.877299e-05	1.133031e-04
59            	-5.737674e-05	7.940838e-02	-4.054815e-05	-7.765081e-05	3.710266e-05
60            	-2.968355e-05	7.935433e-02	-3.216879e-04	-1.905275e-04	-1.311604e-04
61            	-1.958182e-05	7.938476e-02	-4.088954e-05	-4.002659e-05	-8.629517e-07
62            	-1.434881e-04	7.936685e-02	-1.811787e-04	-2.340774e-04	5.289872e-05
63            	-2.006828e-04	7.933356e-02	7.871969e-05	-1.613229e-04	2.400426e-04
64            	-2.589498e-04	7.861140e-02	5.852380e-03	2.667240e-03	3.185140e-03
65            	6.306287e-05	7.742450e-02	7.003816e-03	3.564971e-03	3.438845e-03
66            	8.788329e-04	7.657863e-02	4.805563e-03	3.281614e-03	1.523949e-03
67            	1.548697e-03	7.569761e-02	8.279433e-04	1.962668e-03	-1.134725e-03
68            	1.567082e-03	7.510329e-02	-4.886142e-03	-8.759891e-04	-4.010153e-03
69            	1.201549e-03	7.486836e-02	-8.975193e-03	-3.286047e-03	-5.689145e-03
70            	9.786735e-04	7.495727e-02	-1.081664e-02	-4.429645e-03	-6.386993e-03
71            	7.866577e-04	7.507721e-02	-1.151034e-02	-4.968512e-03	-6.541827e-03
72            	7.827268e-04	7.496165e-02	-1.124604e-02	-4.840295e-03	-6.405748e-03
73            	8.383972e-04	7.442421e-02	-1.190185e-02	-5.112527e-03	-6.789322e-03
74            	1.005920e-03	7.418721e-02	-1.812871e-02	-8.058435e-03	-1.007028e-02
75            	8.077912e-04	7.415413e-02	-1.910184e-02	-8.743131e-03	-1.035871e-02
76            	2.223588e-04	7.381264e-02	-1.758859e-02	-8.571936e-03	-9.016654e-03
77            	-6.260773e-04	7.355314e-02	-1.387804e-02	-7.565098e-03	-6.312944e-03
78            	-9.554760e-04	7.300705e-02	-7.633726e-03	-4.772339e-03	-2.861387e-03
79            	-6.394539e-04	7.203726e-02	-3.037245e-03	-2.158076e-03	-8.791685e-04
80            	-2.081948e-04	7.081334e-02	-1.158154e-03	-7.872720e-04	-3.708824e-04
81            	-6.240816e-05	6.933728e-02	-7.576917e-04	-4.412540e-04	-3.164377e-04
82            	-2.171250e-04	6.803139e-02	-7.197142e-04	-5.769821e-04	-1.427321e-04
83            	-1.156526e-04	6.723813e-02	6.633204e-05	-8.248659e-05	1.488186e-04
84            	5.410991e-05	6.679693e-02	3.619829e-04	2.351013e-04	1.268815e-04
85            	-3.757321e-05	6.680775e-02	-3.215740e-04	-1.983602e-04	-1.232138e-04
86            	2.338141e-05	6.685140e-02	-2.049409e-05	1.313437e-05	-3.362846e-05
87            	-7.628258e-05	6.680299e-02	-1.279284e-04	-1.402468e-04	1.231839e-05
88            	-1.769407e-04	6.677206e-02	-1.483712e-04	-2.511263e-04	1.027551e-04
89            	-3.116793e-05	6.683914e-02	4.130398e-04	1.753520e-04	2.376879e-04
90            	-3.192880e-05	6.679938e-02	-2.021359e-04	-1.329968e-04	-6.913916e-05
91            	-2.572506e-05	6.679303e-02	-1.118806e-05	-3.131909e-05	2.013103e-05
92            	-1.216450e-04	6.675554e-02	-2.349482e-04	-2.391191e-04	4.170911e-06
93            	-7.451935e-05	6.676047e-02	-4.094720e-04	-2.792553e-04	-1.302166e-04
94            	-3.913415e-05	6.678647e-02	-3.220630e-04	-2.001656e-04	-1.218973e-04
95            	-8.633567e-06	6.678272e-02	3.729506e-04	1.778417e-04	1.951089e-04
96            	-1.903803e-04	6.679089e-02	-3.395848e-06	-1.920782e-04	1.886824e-04
97            	-1.878115e-04	6.683380e-02	2.343282e-05	-1.760951e-04	1.995279e-04
98            	-9.871220e-05	6.676352e-02	2.083025e-04	5.439048e-06	2.028634e-04
99            	-1.137331e-04	6.600210e-02	6.019008e-03	2.895771e-03	3.123237e-03
100           	-1.715107e-04	6.477192e-02	6.463964e-03	3.060471e-03	3.403493e-03
101           	8.264160e-04	6.400115e-02	5.467259e-03	3.560046e-03	1.907214e-03
102           	1.334912e-03	6.323815e-02	1.130042e-03	1.899933e-03	-7.698905e-04
103           	1.549341e-03	6.261676e-02	-5.065125e-03	-9.832218e-04	-4.081903e-03
104           	1.372810e-03	6.247294e-02	-9.366173e-03	-3.310277e-03	-6.055896e-03
105           	1.133027e-03	6.259730e-02	-1.112108e-02	-4.427516e-03	-6.693569e-03
106           	9.703018e-04	6.277084e-02	-1.182028e-02	-4.939838e-03	-6.880442e-03
107           	1.121565e-03	6.282137e-02	-1.178333e-02	-4.770097e-03	-7.013228e-03
108           	1.247329e-03	6.246696e-02	-1.231718e-02	-4.911259e-03	-7.405917e-03
109           	1.369482e-03	6.248910e-02	-1.834711e-02	-7.804075e-03	-1.054304e-02
110           	1.111773e-03	6.251463e-02	-1.960966e-02	-8.693056e-03	-1.091660e-02
111           	4.490616e-04	6.215258e-02	-1.861891e-02	-8.860396e-03	-9.758519e-03
112           	-4.423257e-05	6.189742e-02	-1.391677e-02	-7.002616e-03	-6.914151e-03
113           	-2.631493e-04	6.141388e-02	-8.134480e-03	-4.330389e-03	-3.804091e-03
114           	-4.255976e-04	6.050120e-02	-3.982923e-03	-2.417059e-03	-1.565864e-03
115           	-1.008726e-04	5.933348e-02	-8.295887e-04	-5.156670e-04	-3.139217e-04
116           	-5.527763e-05	5.789777e-02	-2.505428e-04	-1.805490e-04	-6.999375e-05
117           	-9.626379e-05	5.653053e-02	-6.297869e-04	-4.111573e-04	-2.186297e-04
118           	-6.782464e-05	5.558265e-02	1.424031e-04	3.376926e-06	1.390262e-04
119           	-1.464943e-05	5.497169e-02	2.597797e-04	1.152404e-04	1.445393e-04
120           	-4.412091e-05	5.470610e-02	2.076558e-05	-3.373812e-05	5.450370e-05
121           	-8.665042e-05	5.469015e-02	-2.384338e-05	-9.857211e-05	7.472873e-05
122           	1.252665e-05	5.466352e-02	-3.487310e-05	-4.909901e-06	-2.996320e-05
123           	-2.091544e-06	5.473084e-02	1.258132e-04	6.081507e-05	6.499816e-05
124           	-1.977105e-05	5.465822e-02	1.133489e-05	-1.410360e-05	2.543849e-05
125           	-2.603896e-05	5.469615e-02	4.559428e-05	-3.241815e-06	4.883610e-05
126           	8.389680e-05	5.471143e-02	6.781597e-05	1.178048e-04	-4.998882e-05
127           	2.675709e-05	5.470837e-02	1.998023e-04	1.266583e-04	7.314408e-05
128           	-4.988299e-05	5.468125e-02	-1.371845e-04	-1.184752e-04	-1.870924e-05
129           	-3.267945e-05	5.471766e-02	1.500406e-04	4.234085e-05	1.076997e-04
